scene_idx,PSNR(dB),SSIM
0,36.39768981933594,0.9104149003760637
1,26.813732147216797,0.8446639774829962
2,29.11677360534668,0.8179956919926792
3,27.99939727783203,0.8295406361361682
mean,30.08189821243286,0.8506538014969769
