sample,psnr,ssim,time
IMG_1085_eslf,31.91,0.8538,222.69
IMG_1086_eslf,30.13,0.8757,1.22
IMG_1184_eslf,31.14,0.6591,0.77
IMG_1187_eslf,28.01,0.5854,0.84
IMG_1306_eslf,23.57,0.5318,0.89
IMG_1312_eslf,29.36,0.7843,0.99
IMG_1316_eslf,24.80,0.6351,1.05
IMG_1317_eslf,24.22,0.7330,1.10
IMG_1320_eslf,22.42,0.7931,1.17
IMG_1321_eslf,28.51,0.7484,1.23
IMG_1324_eslf,33.40,0.9170,1.32
IMG_1325_eslf,27.36,0.7520,1.38
IMG_1327_eslf,26.43,0.7026,1.40
IMG_1328_eslf,28.98,0.6944,1.51
IMG_1340_eslf,30.46,0.8414,1.57
IMG_1389_eslf,27.08,0.8214,1.71
IMG_1390_eslf,29.89,0.7891,1.70
IMG_1411_eslf,18.72,0.5473,1.78
IMG_1419_eslf,18.37,0.6213,1.84
IMG_1528_eslf,19.76,0.6431,1.93
IMG_1541_eslf,20.68,0.5933,1.96
IMG_1554_eslf,15.50,0.4959,2.04
IMG_1555_eslf,17.59,0.5545,2.09
IMG_1586_eslf,24.19,0.7565,2.21
IMG_1743_eslf,31.67,0.8556,2.28
Cars,17.13,0.5772,2.34
Flower1,18.99,0.5723,2.41
Flower2,18.63,0.5375,2.47
Rock,21.71,0.5927,2.54
Seahorse,19.80,0.7038,2.63
