sample,psnr,ssim,time
IMG_1085_eslf,34.91,0.9068,126.33
IMG_1086_eslf,34.39,0.9326,1.23
IMG_1184_eslf,33.06,0.7518,0.74
IMG_1187_eslf,30.93,0.7473,0.80
IMG_1306_eslf,27.15,0.7536,0.91
IMG_1312_eslf,33.40,0.8919,0.96
IMG_1316_eslf,27.58,0.7649,1.04
IMG_1317_eslf,27.40,0.8362,1.10
IMG_1320_eslf,26.56,0.8967,1.17
IMG_1321_eslf,32.25,0.8743,1.25
IMG_1324_eslf,37.72,0.9545,1.32
IMG_1325_eslf,30.77,0.8623,1.38
IMG_1327_eslf,29.96,0.8416,1.43
IMG_1328_eslf,32.56,0.8464,1.51
IMG_1340_eslf,34.35,0.9135,1.59
IMG_1389_eslf,31.34,0.9149,1.62
IMG_1390_eslf,33.72,0.8950,1.72
IMG_1411_eslf,21.87,0.7092,1.79
IMG_1419_eslf,22.09,0.7937,1.84
IMG_1528_eslf,24.01,0.8230,1.90
IMG_1541_eslf,24.75,0.8028,2.01
IMG_1554_eslf,19.48,0.7394,2.06
IMG_1555_eslf,21.59,0.7697,2.09
IMG_1586_eslf,28.41,0.8830,2.21
IMG_1743_eslf,34.46,0.9102,2.27
Cars,21.04,0.7786,2.34
Flower1,22.68,0.7689,2.41
Flower2,22.90,0.7663,2.47
Rock,25.78,0.7983,2.56
Seahorse,23.38,0.8394,2.62
