sample,psnr,ssim,time
IMG_1085_eslf,26.74,0.7758,225.24
IMG_1086_eslf,22.20,0.7442,1.22
IMG_1184_eslf,29.05,0.6096,0.79
IMG_1187_eslf,24.38,0.4392,0.85
IMG_1306_eslf,18.47,0.3019,0.89
IMG_1312_eslf,22.05,0.5766,0.98
IMG_1316_eslf,19.90,0.4209,1.04
IMG_1317_eslf,19.14,0.5558,1.18
IMG_1320_eslf,16.99,0.6002,1.18
IMG_1321_eslf,22.93,0.5266,1.23
IMG_1324_eslf,23.96,0.7581,1.31
IMG_1325_eslf,22.77,0.5557,1.37
IMG_1327_eslf,21.96,0.5388,1.45
IMG_1328_eslf,24.10,0.5063,1.52
IMG_1340_eslf,22.72,0.6608,1.57
IMG_1389_eslf,19.66,0.6059,1.63
IMG_1390_eslf,24.31,0.6211,1.75
IMG_1411_eslf,13.92,0.3405,1.78
IMG_1419_eslf,11.57,0.2524,1.87
IMG_1528_eslf,13.54,0.3476,1.92
IMG_1541_eslf,15.09,0.3024,1.98
IMG_1554_eslf,10.96,0.2105,2.07
IMG_1555_eslf,12.73,0.2521,2.12
IMG_1586_eslf,18.25,0.5284,2.21
IMG_1743_eslf,25.64,0.7311,2.41
Cars,10.99,0.2211,2.35
Flower1,14.01,0.3054,2.42
Flower2,12.66,0.2322,2.48
Rock,15.93,0.3147,2.54
Seahorse,13.37,0.4223,2.67
