sample,psnr,ssim,time
IMG_1085_eslf,29.23,0.8184,241.05
IMG_1086_eslf,26.13,0.8053,1.21
IMG_1184_eslf,29.96,0.6185,0.80
IMG_1187_eslf,25.62,0.4668,0.94
IMG_1306_eslf,20.43,0.3532,0.88
IMG_1312_eslf,25.08,0.6515,0.98
IMG_1316_eslf,22.04,0.5038,1.06
IMG_1317_eslf,20.79,0.6118,1.13
IMG_1320_eslf,19.13,0.6834,1.16
IMG_1321_eslf,24.93,0.6049,1.25
IMG_1324_eslf,29.09,0.8599,1.30
IMG_1325_eslf,24.35,0.6287,1.38
IMG_1327_eslf,23.82,0.5874,1.45
IMG_1328_eslf,25.96,0.5618,1.52
IMG_1340_eslf,26.47,0.7520,1.59
IMG_1389_eslf,22.44,0.6920,1.66
IMG_1390_eslf,26.32,0.6698,1.74
IMG_1411_eslf,15.58,0.3986,1.80
IMG_1419_eslf,14.38,0.3932,1.88
IMG_1528_eslf,16.08,0.4580,1.92
IMG_1541_eslf,17.15,0.3870,2.00
IMG_1554_eslf,12.57,0.2926,2.07
IMG_1555_eslf,14.56,0.3548,2.16
IMG_1586_eslf,20.78,0.6246,2.22
IMG_1743_eslf,28.08,0.7802,2.30
Cars,13.79,0.3853,2.37
Flower1,16.00,0.4017,2.43
Flower2,15.07,0.3278,2.49
Rock,18.15,0.3997,2.55
Seahorse,16.63,0.5593,2.63
